Date Applied,Company,Job Title,Link,My Follow Up,Status,Extra
,Twilio,Machine Learning Engineer,https://job-boards.greenhouse.io/twilio/jobs/7702644,,,Score:100 | Remote - US
,Twilio,Staff Machine Learning Engineer,https://job-boards.greenhouse.io/twilio/jobs/7061880,,,Score:100 | Remote - US
,Faire,Staff Machine Learning Platform Engineer,https://job-boards.greenhouse.io/faire/jobs/8426107002,,,"Score:90 | San Francisco, CA"
,Chainguard,Software Engineer (Libraries Platform) ,https://job-boards.greenhouse.io/chainguard/jobs/4673133006,,,Score:80 | Remote - US
,Chainguard,Software Engineer (Libraries Platform) ,https://job-boards.greenhouse.io/chainguard/jobs/4673135006,,,Score:80 | Remote - US
,Twilio,Principal Machine Learning & Data Engineer ,https://job-boards.greenhouse.io/twilio/jobs/7155492,,,Score:75 | Remote - US
,Airbnb,"Staff Machine Learning Engineer, Listings and Host Tools Data and AI",https://job-boards.greenhouse.io/airbnb/jobs/7454348,,,Score:75 | United States
,Klaviyo,Software Engineer II - Analytics Data Engineering,https://job-boards.greenhouse.io/klaviyo/jobs/7669291003,,,Score:75 | Boston
,Attentive,"Software Engineer II, BI Tooling and Platform",https://job-boards.greenhouse.io/attentive/jobs/4224514009,,,Score:75 | United States
,Verse,"Software Engineer, Data Engineering ",https://job-boards.greenhouse.io/verse/jobs/5196721008,,,Score:75 | US-San Francisco
,Anthropic,"Staff+ Software Engineer, Data Infrastructure",https://job-boards.greenhouse.io/anthropic/jobs/5114768008,,,"Score:70 | New York City, NY, San Francisco, CA, Seattle, WA"
,Klaviyo,Lead AI Software Engineer,https://job-boards.greenhouse.io/klaviyo/jobs/7453464003,,,Score:70 | Boston
,Fivetran,Staff Site Reliability Engineer,https://job-boards.greenhouse.io/fivetran/jobs/7701049003,,,Score:65 | USA - Oakland
,Klaviyo,Lead AI Engineer,https://job-boards.greenhouse.io/klaviyo/jobs/7659140003,,,Score:65 | Palo Alto
,Klaviyo,"Software Engineer II, Data Automation ",https://job-boards.greenhouse.io/klaviyo/jobs/7453478003,,,Score:65 | Boston
